approvedSymbol	log2FC_shrunk	padj	baseMean	sm_evidence	sm_categories
MMP7	3.52396384374726	6.91316367641888e-19	61.3034642825481	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;Druggable Family
GABRE	2.41689199365347	8.314580968502961e-15	198.510318534264	strong	Approved Drug;High-Quality Ligand;Druggable Family
CFTR	2.29385001892364	1.18031140025879e-11	143.601908241247	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
ADRA2A	2.3987366059832	4.70146650825822e-10	12.3110679830311	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;Druggable Family
PTGDS	2.24739485186768	3.4396070371752203e-09	219.845495454483	strong	Approved Drug;Structure with Ligand;High-Quality Pocket
MMP2	1.47151233677129	6.502921463075451e-09	166.570702455257	strong	Advanced Clinical;Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
FXYD2	2.00261027261776	1.55643648317572e-08	11.9845988726089	strong	Advanced Clinical;Structure with Ligand;High-Quality Ligand;Druggable Family
CACNA1C	2.31108568313383	3.40823947307355e-08	14.2812489620023	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;Druggable Family
CTSK	1.02540856018287	5.16024587765622e-08	156.575985640229	strong	Advanced Clinical;Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
CACNB3	1.37214596630213	8.31444420151071e-08	15.2205669795052	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;Druggable Family
PLAT	1.36078754828984	2.11898516795886e-07	83.7386527717101	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;Med-Quality Pocket;Druggable Family
MAP3K12	1.09072022604826	3.25187493737613e-07	45.1059293002389	strong	Advanced Clinical;Structure with Ligand;High-Quality Ligand;Druggable Family
SV2A	1.33473643573514	6.16267272110518e-07	11.5540168278993	weak	Approved Drug;Structure with Ligand;Druggable Family
MST1R	1.53327379972957	1.27523170776651e-06	10.5146755174863	strong	Phase 1 Clinical;Structure with Ligand;High-Quality Ligand;Druggable Family
SLC5A1	1.62453730857604	1.43062400224846e-06	68.7521532608113	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;Druggable Family
DNMT3A	0.55069314216367	3.13645247681709e-06	180.787486356095	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;Druggable Family
CETP	-1.49239427055897	4.28553221519201e-06	490.17685075525	strong	Advanced Clinical;Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
ALDH2	-0.608245835244558	4.52574428060259e-06	30459.4734628584	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
ADRA2B	-0.848985488085586	4.97453752723554e-06	105.956128334668	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;Druggable Family
CYP3A7	1.14487632214232	6.46659239946916e-06	1697.34446355283	weak	Approved Drug;Structure with Ligand;Druggable Family
MAP2K1	-0.707669790234173	1.15797527859268e-05	1265.0190639072	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
GABBR1	1.19974146366781	1.66743653214016e-05	86.6618180986298	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;Druggable Family
NQO1	1.34631288189978	2.73238970023321e-05	37.1290950652181	strong	Advanced Clinical;Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
LGALS3	0.908958757456702	2.73555706610647e-05	218.54258910878	strong	Advanced Clinical;Structure with Ligand;High-Quality Ligand
MAPK10	0.967983742832563	9.73460435178447e-05	31.705543501862	strong	Advanced Clinical;Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
TYMS	1.00023777435256	0.000115261987514	130.866453445946	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
EZH2	0.649710219643526	0.0001311584132851	59.1575768835392	strong	Approved Drug;Structure with Ligand;High-Quality Ligand
CACNB1	1.35212480309707	0.0001495201683839	8.67465622570111	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;Druggable Family
AVPR1A	-1.6173449305742	0.000201630997042	403.435019512337	strong	Approved Drug;High-Quality Ligand;Druggable Family
HDAC6	0.514869814224978	0.000201630997042	2660.39590489264	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;Druggable Family
SRC	0.740776103044597	0.0002328619414966	137.506066496885	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
FLNA	1.02737192347293	0.0002502707516038	715.219403047143	strong	Advanced Clinical;Structure with Ligand;High-Quality Pocket
PLA2G5	0.97692896668253	0.0002792002410596	40.3017950990092	strong	Advanced Clinical;High-Quality Ligand;Druggable Family
KCNJ5	1.13374287555138	0.0002797236658594	11.0457874066731	strong	Approved Drug;High-Quality Ligand;Druggable Family
MMP14	0.775856911146299	0.000283312369306	285.324998805171	strong	Advanced Clinical;Structure with Ligand;High-Quality Ligand;Druggable Family
LOXL2	0.667520726563864	0.0005966596249723	33.7063553202823	strong	Advanced Clinical;High-Quality Ligand
SRD5A1	-0.528827307838759	0.0006189215033542	904.703353694354	strong	Approved Drug;High-Quality Ligand;Druggable Family
KCNN4	1.25433304305717	0.0006970176422707	7.58006361245692	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;Druggable Family
