approvedSymbol	log2FC_shrunk	padj	baseMean	sm_evidence	sm_categories
LOXL4	3.11083528993706	5.27224333778824e-33	96.6534318028918	strong	High-Quality Ligand
CAPN2	1.06784417766394	7.69544139379093e-16	819.801673242024	strong	High-Quality Ligand;Med-Quality Pocket;Druggable Family
GSN	1.98756397520296	1.22027635161462e-15	1003.37500753041	weak	Structure with Ligand
KRT7	2.72536856539873	2.89423437535087e-14	231.836459246083	weak	Structure with Ligand
NAAA	-0.859132672378973	6.04343334790505e-14	835.075903086581	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
ANXA2	1.24166004235855	5.08115442997264e-13	1586.03379552574	strong	Structure with Ligand;High-Quality Pocket
AQP1	2.09423233297634	5.62086960471742e-13	526.874765201557	strong	Structure with Ligand;High-Quality Pocket
SPHK1	2.36809253874725	1.0037684772576998e-12	19.839345870094	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
FAP	3.05640922228243	1.15532856128197e-12	12.017636906091	strong	Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
PDZK1IP1	3.06584316510942	2.71942097424572e-12	34.0190021606453	weak	Structure with Ligand
JAG1	1.58792807956738	3.9219419031333e-12	182.550553166504	weak	Structure with Ligand
TPM1	0.813684249528278	7.80123222566567e-12	1149.78485227759	weak	Structure with Ligand
PDGFA	1.90387517064785	1.5898645107685398e-11	61.3016674995402	strong	High-Quality Pocket
KCNN2	-1.19101541582125	2.2358939860228497e-11	685.72511530634	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
HSD17B14	-1.90059534596883	6.3589502201386e-10	469.52157843328	strong	Structure with Ligand;High-Quality Ligand;High-Quality Pocket
SEPTIN8	0.522146963590096	8.1910798946786e-10	318.640993312285	weak	Structure with Ligand
SLCO2A1	1.93112726098977	9.889818120261721e-10	64.0904031061067	weak	Structure with Ligand;Druggable Family
LIMK2	0.683974989348953	1.05568827047326e-09	161.397186168419	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
COL4A3	2.3287254872996	1.539731526198e-09	31.1705184309073	weak	Structure with Ligand
COL1A1	1.76440026844167	1.81468730222458e-09	489.832150279682	weak	Structure with Ligand
OAT	-1.53393688475329	8.09984916523575e-09	2353.23878364268	strong	Structure with Ligand;High-Quality Ligand;High-Quality Pocket
AKR1B10	3.81814264313225	1.04075019325376e-08	572.900650424037	strong	Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
CLEC4M	-1.43349811234898	2.30879626025794e-08	815.918134538234	strong	Structure with Ligand;High-Quality Pocket
RAB25	2.23831216562272	2.8961447077361e-08	15.275441654428	weak	Structure with Ligand
ABCC5	0.790886873560354	3.40823947307355e-08	250.112137275116	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
NALCN	2.02655897396094	4.53560992769804e-08	22.6094673943312	weak	Structure with Ligand
PFKP	1.34009697425949	5.11526402967363e-08	27.9370117455271	weak	Structure with Ligand
SCD5	1.369052137847	6.47709117999358e-08	44.959278642975	strong	High-Quality Ligand;Druggable Family
SYT1	-1.26272080693783	6.61483968776186e-08	30.2951892877931	strong	High-Quality Pocket
CKMT2	1.84601750756079	8.42443117201653e-08	7.97892452824784	strong	Structure with Ligand;High-Quality Pocket
CNKSR1	2.14925940670948	8.67880431759709e-08	22.457911497142	strong	High-Quality Ligand
BACE2	1.09655394998556	1.11425600426306e-07	126.696760396351	strong	Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
SEMA7A	1.43855316782005	1.28283267540474e-07	20.5962295365455	strong	High-Quality Pocket
ST14	1.26381465517754	1.33059098336149e-07	158.645159161515	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
SOD3	2.19848468173784	1.45524562463062e-07	35.4432856648004	strong	High-Quality Pocket
CYP2C19	-2.50125774229731	1.49618326580297e-07	80.4610205600296	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
FCN2	-1.25989021841589	1.50000738746647e-07	1098.60485677163	strong	Structure with Ligand;High-Quality Pocket
