quadrant,k,overlap,expected,hypergeom_p
up_vs_up,100,8,0.6306760847628657,2.175520007802664e-07
down_vs_down,100,1,0.6306760847628657,0.46988587886615774
up_vs_down (discordant),100,0,0.6306760847628657,1.0
down_vs_up (discordant),100,0,0.6306760847628657,1.0
up_vs_up,300,39,5.676084762865792,1.0574705652160003e-21
down_vs_down,300,15,5.676084762865792,0.0006161712311067414
up_vs_down (discordant),300,1,5.676084762865792,0.9969289067485804
down_vs_up (discordant),300,0,5.676084762865792,1.0
up_vs_up,500,84,15.766902119071645,8.519350701701815e-38
down_vs_down,500,32,15.766902119071645,0.00012412433268798405
up_vs_down (discordant),500,4,15.766902119071645,0.9999199824362974
down_vs_up (discordant),500,5,15.766902119071645,0.9996434503189444
up_vs_up,1000,208,63.06760847628658,1.5224618049418552e-57
down_vs_down,1000,108,63.06760847628658,1.774532562378437e-08
up_vs_down (discordant),1000,14,63.06760847628658,0.9999999999999987
down_vs_up (discordant),1000,19,63.06760847628658,0.9999999999976156
