cohort	gene	ensembl_id	n_F4	n_F0	median_raw_F4	median_raw_F0	median_norm_F4	median_norm_F0	log2_median_ratio	wilcox_p	spearman_rho_stage	spearman_rho_COL1A1	frac_zero_F0	frac_zero_F4
GSE135251	LOX	ENSG00000113083	14	38	27.5	10	24.3457448703887	9.89094833543333	1.2994888842062	0.000230945521800478	0.343046647766288	0.157233884616462	0.0526315789473684	0
GSE162694	LOX	ENSG00000113083	12	35	122.5	66	139.07998394854	64.8701356996602	1.10028844381687	0.0110061054179181	0.242469524106952	0.215913194786434	0	0
GSE135251	LOXL1	ENSG00000129038	14	38	49	6	44.6175628633436	6.27583205063969	2.82973306212205	1.16549322632578e-05	0.550790721949615	0.757746349530596	0.0526315789473684	0
GSE162694	LOXL1	ENSG00000129038	12	35	71	16	59.1773274785649	15.2109633868688	1.95993301501314	0.00521257611786275	0.286553496059285	0.627304849577041	0.0571428571428571	0
GSE135251	LOXL2	ENSG00000134013	14	38	50.5	27.5	45.0015126888014	25.6893851932502	0.808801133660126	0.000257218814472633	0.300459623544526	0.598817158547897	0	0
GSE162694	LOXL2	ENSG00000134013	12	35	110	72	78.1793614967941	75.0327024991311	0.0592682803437406	0.673437959000224	0.0929200716028499	0.580998227124988	0	0
GSE135251	LOXL3	ENSG00000115318	14	38	38.5	22.5	36.2270535617184	21.6584782249817	0.742135593110014	0.000642276855898528	0.251897962644463	0.594491093485495	0	0
GSE162694	LOXL3	ENSG00000115318	12	35	82	56	77.4134061224063	55.2840087882559	0.485721194644075	0.0314556815555414	0.0972714203966507	0.400312715453561	0	0
GSE135251	LOXL4	ENSG00000138131	14	38	274	30	271.893548840573	27.6792450807806	3.29616542046113	5.08771691868173e-11	0.637834518929531	0.670360699296846	0	0
GSE162694	LOXL4	ENSG00000138131	12	35	437.5	77	368.975987930881	78.3005642979954	2.23643232231155	0.000838398077114168	0.430306428383512	0.572646836731344	0	0
GSE135251	COL1A1	ENSG00000108821	14	38	1043.5	264.5	1000.62976209701	249.070669778387	2.00628122179007	2.5016647792701e-05	0.417250160501785	1	0	0
GSE162694	COL1A1	ENSG00000108821	12	35	2050.5	606	1715.44233516434	621.318534254586	1.46517563393718	0.00688311096243302	0.29778687395058	1	0	0
GSE135251	COL3A1	ENSG00000168542	14	38	5172	2387	4691.9388213805	2341.20305935275	1.00293413304158	2.5016647792701e-05	0.45978826495705	0.705154115302552	0	0
GSE162694	COL3A1	ENSG00000168542	12	35	12135	5941	9839.64015767235	5753.27053254689	0.774223245401035	0.170287841609699	0.186573466961812	0.778706622016481	0	0
GSE135251	LUM	ENSG00000139329	14	38	1535	382	1637.84069390327	376.603192153172	2.1206779050825	8.66881387925304e-07	0.542090449044326	0.214437767662266	0	0
GSE162694	LUM	ENSG00000139329	12	35	3076	611	2627.40676555878	589.555056799853	2.1559411169373	4.79607811309434e-05	0.482049929319339	0.387841032207229	0	0
GSE135251	THBS2	ENSG00000186340	14	38	492.5	85.5	483.309942226434	89.4229360183206	2.43423185322512	1.78974575161626e-09	0.618016326836441	0.599351029016962	0	0
GSE162694	THBS2	ENSG00000186340	12	35	1971.5	310	1456.61407523204	290.153704940673	2.32772943532535	6.29244373634257e-05	0.39757633375075	0.728577760267901	0	0
GSE135251	ALB	ENSG00000163631	14	38	2686955.5	4271236.5	2446189.16186916	3711872.06807688	-0.60161101731921	0.00137109448317313	-0.198900825125938	-0.610545166237591	0	0
GSE162694	ALB	ENSG00000163631	12	35	3809914.5	2866115	3075305.01456904	2836740.86210196	0.116495141156169	0.819141915296245	-0.155601582298525	-0.473804950917627	0	0
