cohort	gene	stage	median_raw	median_norm	n	frac_zero
GSE135251	LOX	control	21.5	24.3	8	0
GSE162694	LOX	control	64	68.8	31	0
GSE135251	LOXL1	control	9.5	10.5	8	0.125
GSE162694	LOXL1	control	6	5.9	31	0.032
GSE135251	LOXL2	control	26.5	30.1	8	0
GSE162694	LOXL2	control	58	57.6	31	0
GSE135251	LOXL3	control	16.5	20.1	8	0
GSE162694	LOXL3	control	44	42.9	31	0
GSE135251	LOXL4	control	21.5	24.7	8	0
GSE162694	LOXL4	control	63	65.5	31	0
GSE135251	COL1A1	control	163	189.8	8	0
GSE162694	COL1A1	control	265	267.5	31	0
GSE135251	COL3A1	control	1895.5	2202.4	8	0
GSE162694	COL3A1	control	3036	3182.2	31	0
GSE135251	LUM	control	495.5	557.9	8	0
GSE162694	LUM	control	487	488.8	31	0
GSE135251	THBS2	control	117.5	137.3	8	0
GSE162694	THBS2	control	187	202.3	31	0
GSE135251	ALB	control	2511642	3061705.2	8	0
GSE162694	ALB	control	3220943	3142229.1	31	0
GSE135251	LOX	0	10	9.9	38	0.053
GSE162694	LOX	0	66	64.9	35	0
GSE135251	LOXL1	0	6	6.3	38	0.053
GSE162694	LOXL1	0	16	15.2	35	0.057
GSE135251	LOXL2	0	27.5	25.7	38	0
GSE162694	LOXL2	0	72	75	35	0
GSE135251	LOXL3	0	22.5	21.7	38	0
GSE162694	LOXL3	0	56	55.3	35	0
GSE135251	LOXL4	0	30	27.7	38	0
GSE162694	LOXL4	0	77	78.3	35	0
GSE135251	COL1A1	0	264.5	249.1	38	0
GSE162694	COL1A1	0	606	621.3	35	0
GSE135251	COL3A1	0	2387	2341.2	38	0
GSE162694	COL3A1	0	5941	5753.3	35	0
GSE135251	LUM	0	382	376.6	38	0
GSE162694	LUM	0	611	589.6	35	0
GSE135251	THBS2	0	85.5	89.4	38	0
GSE162694	THBS2	0	310	290.2	35	0
GSE135251	ALB	0	4271236.5	3711872.1	38	0
GSE162694	ALB	0	2866115	2836740.9	35	0
GSE135251	LOX	1	11	10.6	47	0.021
GSE162694	LOX	1	73.5	71.5	30	0
GSE135251	LOXL1	1	9	8.2	47	0.021
GSE162694	LOXL1	1	9.5	9.3	30	0
GSE135251	LOXL2	1	25	24.7	47	0
GSE162694	LOXL2	1	65	65.4	30	0
GSE135251	LOXL3	1	23	23.9	47	0
GSE162694	LOXL3	1	67	62	30	0
GSE135251	LOXL4	1	43	41.7	47	0
GSE162694	LOXL4	1	84	79.2	30	0
GSE135251	COL1A1	1	279	291.7	47	0
GSE162694	COL1A1	1	513.5	471.1	30	0
GSE135251	COL3A1	1	2274	2270.5	47	0
GSE162694	COL3A1	1	5651.5	5457.4	30	0
GSE135251	LUM	1	393	414.1	47	0
GSE162694	LUM	1	677	591.3	30	0
GSE135251	THBS2	1	109	101.9	47	0
GSE162694	THBS2	1	322.5	309.6	30	0
GSE135251	ALB	1	3494962	3545901	47	0
GSE162694	ALB	1	3037898	2937959.8	30	0
GSE135251	LOX	2	11	10.1	53	0.038
GSE162694	LOX	2	79	73.7	27	0
GSE135251	LOXL1	2	14	12.8	53	0
GSE162694	LOXL1	2	17	15.3	27	0
GSE135251	LOXL2	2	31	31.7	53	0
GSE162694	LOXL2	2	79	74.6	27	0
GSE135251	LOXL3	2	27	25.6	53	0
GSE162694	LOXL3	2	56	51.5	27	0
GSE135251	LOXL4	2	56	55.5	53	0
GSE162694	LOXL4	2	99	104.5	27	0
GSE135251	COL1A1	2	500	489.1	53	0
GSE162694	COL1A1	2	962	870	27	0
GSE135251	COL3A1	2	3024	3092.1	53	0
GSE162694	COL3A1	2	6647	5982.6	27	0
GSE135251	LUM	2	490	530	53	0
GSE162694	LUM	2	986	1065.1	27	0
GSE135251	THBS2	2	128	138.3	53	0
GSE162694	THBS2	2	461	427.5	27	0
GSE135251	ALB	2	3261510	3338122.5	53	0
GSE162694	ALB	2	2485399	2484043.5	27	0
GSE135251	LOX	3	15	15	54	0.019
GSE162694	LOX	3	91	100	8	0
GSE135251	LOXL1	3	22	21.6	54	0
GSE162694	LOXL1	3	30	31.1	8	0
GSE135251	LOXL2	3	32.5	31.7	54	0
GSE162694	LOXL2	3	83	90.2	8	0
GSE135251	LOXL3	3	25	25.2	54	0
GSE162694	LOXL3	3	54.5	62.3	8	0
GSE135251	LOXL4	3	111	113.9	54	0
GSE162694	LOXL4	3	117.5	130.5	8	0
GSE135251	COL1A1	3	595.5	566	54	0
GSE162694	COL1A1	3	1470.5	1420.4	8	0
GSE135251	COL3A1	3	3499.5	3445.4	54	0
GSE162694	COL3A1	3	10879.5	11500.7	8	0
GSE135251	LUM	3	1062.5	1038.4	54	0
GSE162694	LUM	3	1371.5	1521.1	8	0
GSE135251	THBS2	3	230	228.3	54	0
GSE162694	THBS2	3	512.5	540.9	8	0
GSE135251	ALB	3	3649389	3466176.8	54	0
GSE162694	ALB	3	2132110.5	2227389	8	0
GSE135251	LOX	4	27.5	24.3	14	0
GSE162694	LOX	4	122.5	139.1	12	0
GSE135251	LOXL1	4	49	44.6	14	0
GSE162694	LOXL1	4	71	59.2	12	0
GSE135251	LOXL2	4	50.5	45	14	0
GSE162694	LOXL2	4	110	78.2	12	0
GSE135251	LOXL3	4	38.5	36.2	14	0
GSE162694	LOXL3	4	82	77.4	12	0
GSE135251	LOXL4	4	274	271.9	14	0
GSE162694	LOXL4	4	437.5	369	12	0
GSE135251	COL1A1	4	1043.5	1000.6	14	0
GSE162694	COL1A1	4	2050.5	1715.4	12	0
GSE135251	COL3A1	4	5172	4691.9	14	0
GSE162694	COL3A1	4	12135	9839.6	12	0
GSE135251	LUM	4	1535	1637.8	14	0
GSE162694	LUM	4	3076	2627.4	12	0
GSE135251	THBS2	4	492.5	483.3	14	0
GSE162694	THBS2	4	1971.5	1456.6	12	0
GSE135251	ALB	4	2686955.5	2446189.2	14	0
