cohort	gene	ensembl_id	n_F4	n_F0	median_raw_F4	median_raw_F0	median_norm_F4	median_norm_F0	log2_median_ratio	wilcox_p	spearman_rho_stage	spearman_rho_COL1A1	frac_zero_F0	frac_zero_F4
GSE135251	POSTN	ENSG00000133110	14	38	70	183.5	72.0289850206041	181.07281863266	-1.32992051524385	0.000282902617976693	-0.341521117126171	-0.345858065148115	0	0
GSE162694	POSTN	ENSG00000133110	12	35	259	326	218.035066696048	335.0519656616	-0.619824687981646	0.0901535284658277	-0.172247148039684	-0.273675268393578	0	0
GSE135251	COL1A1	ENSG00000108821	14	38	1043.5	264.5	1000.62976209701	249.070669778387	2.00628122179007	2.5016647792701e-05	0.417250160501785	1	0	0
GSE162694	COL1A1	ENSG00000108821	12	35	2050.5	606	1715.44233516434	621.318534254586	1.46517563393718	0.00688311096243302	0.29778687395058	1	0	0
GSE135251	COL3A1	ENSG00000168542	14	38	5172	2387	4691.9388213805	2341.20305935275	1.00293413304158	2.5016647792701e-05	0.45978826495705	0.705154115302552	0	0
GSE162694	COL3A1	ENSG00000168542	12	35	12135	5941	9839.64015767235	5753.27053254689	0.774223245401035	0.170287841609699	0.186573466961812	0.778706622016481	0	0
GSE135251	LUM	ENSG00000139329	14	38	1535	382	1637.84069390327	376.603192153172	2.1206779050825	8.66881387925304e-07	0.542090449044326	0.214437767662266	0	0
GSE162694	LUM	ENSG00000139329	12	35	3076	611	2627.40676555878	589.555056799853	2.1559411169373	4.79607811309434e-05	0.482049929319339	0.387841032207229	0	0
GSE135251	THBS2	ENSG00000186340	14	38	492.5	85.5	483.309942226434	89.4229360183206	2.43423185322512	1.78974575161626e-09	0.618016326836441	0.599351029016962	0	0
GSE162694	THBS2	ENSG00000186340	12	35	1971.5	310	1456.61407523204	290.153704940673	2.32772943532535	6.29244373634257e-05	0.39757633375075	0.728577760267901	0	0
GSE135251	ALB	ENSG00000163631	14	38	2686955.5	4271236.5	2446189.16186916	3711872.06807688	-0.60161101731921	0.00137109448317313	-0.198900825125938	-0.610545166237591	0	0
GSE162694	ALB	ENSG00000163631	12	35	3809914.5	2866115	3075305.01456904	2836740.86210196	0.116495141156169	0.819141915296245	-0.155601582298525	-0.473804950917627	0	0
