cohort	gsm	stage	gene	raw	cpm	norm	lib_size	size_factor
GSE135251	GSM3998167	2	POSTN	181	7.7721841430525	181.855272462766	23288177	0.995296960867928
GSE135251	GSM3998168	3	POSTN	87	4.36204360238619	96.551138951802	19944780	0.901076889869006
GSE135251	GSM3998169	2	POSTN	214	8.72574340173759	195.435268561571	24525131	1.09499171554381
GSE135251	GSM3998170	3	POSTN	61	2.17494571638558	49.6563819070538	28046677	1.22844230000847
GSE135251	GSM3998171	0	POSTN	60	2.11042674270863	48.8893301558115	28430269	1.22726165011422
GSE135251	GSM3998172	1	POSTN	122	4.89316574748682	127.133655529688	24932734	0.959620011646014
GSE135251	GSM3998173	3	POSTN	88	3.55512190250409	76.4858409905081	24753019	1.15053974513951
GSE135251	GSM3998174	2	POSTN	92	3.74449564228214	96.9963222309432	24569397	0.948489570366934
GSE135251	GSM3998175	0	POSTN	579	30.8854094765184	787.92749655917	18746716	0.734839185748
GSE135251	GSM3998176	2	POSTN	253	10.5173689151305	265.105634852485	24055446	0.954336561502283
GSE135251	GSM3998177	1	POSTN	514	19.2724818093456	475.769014960507	26670151	1.08035618932155
GSE135251	GSM3998178	2	POSTN	94	3.77055438501235	95.6237126634143	24930021	0.983019769697401
GSE135251	GSM3998179	3	POSTN	500	22.7379606022995	551.925800916825	21989659	0.905918873822226
GSE135251	GSM3998180	2	POSTN	345	14.7702361332635	350.206550300951	23357785	0.985132915713666
GSE135251	GSM3998181	1	POSTN	264	11.5274771827999	306.717499057532	22901802	0.860726893024389
GSE135251	GSM3998182	2	POSTN	215	8.30663073514416	234.154162202041	25882937	0.91819849785325
GSE135251	GSM3998183	1	POSTN	209	9.53956578270038	235.156335953615	21908754	0.888770439258868
GSE135251	GSM3998184	2	POSTN	420	15.8624103589697	383.971247131439	26477691	1.09383190313786
GSE135251	GSM3998185	3	POSTN	112	4.0234950556814	101.558386900327	27836495	1.10281389276024
GSE135251	GSM3998186	2	POSTN	153	5.96422587154882	141.470365808572	25652952	1.08149858187989
GSE135251	GSM3998187	2	POSTN	399	17.5256458617777	370.3056195692	22766636	1.07748837423581
GSE135251	GSM3998188	3	POSTN	459	16.8120826350123	376.845114159859	27301793	1.21800703459642
GSE135251	GSM3998189	0	POSTN	275	10.8137989264926	266.914418597415	25430471	1.03029278614874
GSE135251	GSM3998190	3	POSTN	314	14.5448407481218	348.058540041962	21588411	0.902147092733722
GSE135251	GSM3998191	4	POSTN	111	4.47247265606774	96.1172122303853	24818486	1.15483998572432
GSE135251	GSM3998192	1	POSTN	113	5.28588053367373	122.351857542592	21377706	0.923565871982476
GSE135251	GSM3998193	3	POSTN	162	8.13408221116891	190.809262395185	19916199	0.849015388280688
GSE135251	GSM3998194	1	POSTN	187	9.3260488413656	200.689033665717	20051364	0.931789827198437
GSE135251	GSM3998195	3	POSTN	127	5.32477523159418	115.968407139771	23850772	1.09512584618786
GSE135251	GSM3998196	1	POSTN	279	14.582033450453	325.852735668495	19133134	0.856214999783949
GSE135251	GSM3998197	1	POSTN	120	4.050066243896	94.1409478895995	29629145	1.27468442468548
GSE135251	GSM3998198	1	POSTN	169	5.23933612960939	122.664615326878	32255995	1.37774043109048
GSE135251	GSM3998199	2	POSTN	393	16.1919766901457	329.880953284219	24271280	1.191338863573
GSE135251	GSM3998200	3	POSTN	119	4.30517216510111	107.613646549085	27641171	1.10580770948712
GSE135251	GSM3998201	4	POSTN	27	1.181335993877	26.312015022413	22855479	1.02614717941598
GSE135251	GSM3998202	0	POSTN	150	6.32253182161879	148.137043806627	23724673	1.01257589692288
GSE135251	GSM3998203	3	POSTN	25	1.06926424312366	26.3666631884818	23380563	0.948167002448805
GSE135251	GSM3998204	1	POSTN	224	10.9703956527065	277.460312957549	20418589	0.807322667563889
GSE135251	GSM3998205	1	POSTN	145	6.77391787479492	168.509246930334	21405633	0.860486902893506
GSE135251	GSM3998206	0	POSTN	110	5.22279245619858	106.573037087055	21061530	1.03215600311874
GSE135251	GSM3998207	3	POSTN	84	4.01614663066096	85.5622633801762	20915571	0.981741210219806
GSE135251	GSM3998208	4	POSTN	115	4.82173884732853	129.626429453478	23850317	0.887164758644169
GSE135251	GSM3998209	3	POSTN	140	6.46303132234267	139.347410628951	21661662	1.00468318261605
GSE135251	GSM3998210	3	POSTN	95	4.99239789179971	109.753463981547	19028932	0.865576324916473
GSE135251	GSM3998211	2	POSTN	138	6.89517923543754	151.737349657212	20013983	0.909466260691608
GSE135251	GSM3998212	1	POSTN	222	10.3276675842008	235.176552426561	21495657	0.943971657503246
