cohort	gene	stage	median_raw	median_norm	n	frac_zero
GSE135251	POSTN	control	176	202.7	8	0
GSE162694	POSTN	control	376	354.8	31	0
GSE135251	COL1A1	control	163	189.8	8	0
GSE162694	COL1A1	control	265	267.5	31	0
GSE135251	COL3A1	control	1895.5	2202.4	8	0
GSE162694	COL3A1	control	3036	3182.2	31	0
GSE135251	LUM	control	495.5	557.9	8	0
GSE162694	LUM	control	487	488.8	31	0
GSE135251	THBS2	control	117.5	137.3	8	0
GSE162694	THBS2	control	187	202.3	31	0
GSE135251	ALB	control	2511642	3061705.2	8	0
GSE162694	ALB	control	3220943	3142229.1	31	0
GSE135251	POSTN	0	183.5	181.1	38	0
GSE162694	POSTN	0	326	335.1	35	0
GSE135251	COL1A1	0	264.5	249.1	38	0
GSE162694	COL1A1	0	606	621.3	35	0
GSE135251	COL3A1	0	2387	2341.2	38	0
GSE162694	COL3A1	0	5941	5753.3	35	0
GSE135251	LUM	0	382	376.6	38	0
GSE162694	LUM	0	611	589.6	35	0
GSE135251	THBS2	0	85.5	89.4	38	0
GSE162694	THBS2	0	310	290.2	35	0
GSE135251	ALB	0	4271236.5	3711872.1	38	0
GSE162694	ALB	0	2866115	2836740.9	35	0
GSE135251	POSTN	1	187	200.7	47	0
GSE162694	POSTN	1	252	267.3	30	0
GSE135251	COL1A1	1	279	291.7	47	0
GSE162694	COL1A1	1	513.5	471.1	30	0
GSE135251	COL3A1	1	2274	2270.5	47	0
GSE162694	COL3A1	1	5651.5	5457.4	30	0
GSE135251	LUM	1	393	414.1	47	0
GSE162694	LUM	1	677	591.3	30	0
GSE135251	THBS2	1	109	101.9	47	0
GSE162694	THBS2	1	322.5	309.6	30	0
GSE135251	ALB	1	3494962	3545901	47	0
GSE162694	ALB	1	3037898	2937959.8	30	0
GSE135251	POSTN	2	140	151.6	53	0
GSE162694	POSTN	2	297	235.3	27	0
GSE135251	COL1A1	2	500	489.1	53	0
GSE162694	COL1A1	2	962	870	27	0
GSE135251	COL3A1	2	3024	3092.1	53	0
GSE162694	COL3A1	2	6647	5982.6	27	0
GSE135251	LUM	2	490	530	53	0
GSE162694	LUM	2	986	1065.1	27	0
GSE135251	THBS2	2	128	138.3	53	0
GSE162694	THBS2	2	461	427.5	27	0
GSE135251	ALB	2	3261510	3338122.5	53	0
GSE162694	ALB	2	2485399	2484043.5	27	0
GSE135251	POSTN	3	111	107.3	54	0.019
GSE162694	POSTN	3	242	238.5	8	0
GSE135251	COL1A1	3	595.5	566	54	0
GSE162694	COL1A1	3	1470.5	1420.4	8	0
GSE135251	COL3A1	3	3499.5	3445.4	54	0
GSE162694	COL3A1	3	10879.5	11500.7	8	0
GSE135251	LUM	3	1062.5	1038.4	54	0
GSE162694	LUM	3	1371.5	1521.1	8	0
GSE135251	THBS2	3	230	228.3	54	0
GSE162694	THBS2	3	512.5	540.9	8	0
GSE135251	ALB	3	3649389	3466176.8	54	0
GSE162694	ALB	3	2132110.5	2227389	8	0
GSE135251	POSTN	4	70	72	14	0
GSE162694	POSTN	4	259	218	12	0
GSE135251	COL1A1	4	1043.5	1000.6	14	0
GSE162694	COL1A1	4	2050.5	1715.4	12	0
GSE135251	COL3A1	4	5172	4691.9	14	0
GSE162694	COL3A1	4	12135	9839.6	12	0
GSE135251	LUM	4	1535	1637.8	14	0
GSE162694	LUM	4	3076	2627.4	12	0
GSE135251	THBS2	4	492.5	483.3	14	0
GSE162694	THBS2	4	1971.5	1456.6	12	0
GSE135251	ALB	4	2686955.5	2446189.2	14	0
GSE162694	ALB	4	3809914.5	3075305	12	0
